,name,href,tags,class
0,"Быстро, точно, градиентно: как наш подход к градиентному бустингу повышает эффективность моделей",https://habr.com/ru/companies/otkritie/articles/738618/,"Машинное обучение, Искусственный интеллект, Финансы в IT, Python, Блог компании Банк «Открытие»",DS
1,Порог вероятности: гиперпараметр для автоматизации улучшения работы нейросетевой модели,https://habr.com/ru/articles/738548/,Машинное обучение,DS
2,Мечтают ли нейронные гонщики об электрокубках,https://habr.com/ru/articles/738540/,"Машинное обучение, Unity, Разработка игр, Искусственный интеллект, Дизайн игр",DS
3,"Нейрокотики: Хабр-кот, Сбер-кот и другие. Если бы популярные сайты были котиками",https://habr.com/ru/articles/738510/,"Искусственный интеллект, Будущее здесь, Научно-популярное",DS
4,Построение HPC/GPU кластеров для машинного обучения,https://habr.com/ru/companies/oleg-bunin/articles/736948/,"Распределённые системы, Машинное обучение, Блог компании Конференции Олега Бунина (Онтико), Искусственный интеллект",DS
5,Как увеличить покрытие ценовым мониторингом с 9% до 85% ассортимента. Deep Learning в процессах ценообразования,https://habr.com/ru/companies/hofftech/articles/738466/,"Искусственный интеллект, Блог компании Hoff Tech, Big Data",DS
6,"Можно ли использовать текст и код, созданные нейросетью, в коммерческих целях — например, в рекламе или на сайте?",https://habr.com/ru/companies/ratingruneta/articles/738480/,"Машинное обучение, Законодательство в IT, Копирайт, Блог компании Рейтинг Рунета, Контент и копирайтинг",DS
7,"Контекст, награда, много рук. Многорукие бандиты как метод принятия решений",https://habr.com/ru/companies/ozontech/articles/738318/,"Машинное обучение, Математика, Статистика в IT, Алгоритмы, Блог компании Ozon Tech",DS
8,"Криптопроект основателя OpenAI предлагает революционный подход к верификации. Разбираем, что с ним не так",https://habr.com/ru/articles/738366/,"Будущее здесь, Искусственный интеллект, Финансы в IT, Криптовалюты, IT-компании",DS
9,"Пишем на Python, как будто это Rust",https://habr.com/ru/articles/738432/,"Совершенный код, Программирование, Rust, Python",python
10,"В лаборатории впервые воспроизвели эволюцию многоклеточного организма, создав многоклеточные дрожжи за 600 дней",https://habr.com/ru/articles/738374/,"Биотехнологии, Биология, Научно-популярное",BIO
11,"Крипта не пошла, будем «стричь» на нейросетях",https://habr.com/ru/articles/738378/,"Искусственный интеллект, Научно-популярное",DS
12,ChatGPT во фронтенде: как его использовать и когда он заменит разработчиков,https://habr.com/ru/articles/737050/,"Управление разработкой, Искусственный интеллект, Разработка веб-сайтов, Программирование",DS
13,"Как я использовал Pytest для написания QA-тестов, гарантированно обходящих 2FA",https://habr.com/ru/companies/otus/articles/738280/,"Блог компании OTUS, Python, Тестирование веб-сервисов",python
14,Werkzeuger: раскручиваем arbitrary file read до RCE в веб-приложении на flask,https://habr.com/ru/articles/738238/,"Информационная безопасность, Python",python
15,Новейшая технология КТ — измерения под контролем реконструкции,https://habr.com/ru/companies/smartengines/articles/737460/,"Блог компании Smart Engines, Искусственный интеллект, Алгоритмы, Обработка изображений",DS
16,Что нам стоит диаграмму в Python построить: 5 вариантов привлекающей внимание визуализации данных и кое-что ещё,https://habr.com/ru/companies/ru_mts/articles/738208/,"Статистика в IT, Data Mining, Python, Big Data, Блог компании МТС",python
17,Идеальный препроцессинговый пайплайн для NLP-моделей,https://habr.com/ru/articles/738176/,"Алгоритмы, Машинное обучение, Программирование, Natural Language Processing",DS
18,Сумки в надежных руках благодаря YOLO: проверяем охранников,https://habr.com/ru/articles/738178/,"Машинное обучение, Работа с видео, Python",DS
19,Фундаментальные концепции переобучения и недообучения в машинном обучении,https://habr.com/ru/articles/738128/,"Data Engineering, Python, Big Data",python
